DATE,Revenue,Profit_Before_Tax,Net_Profit,Profit_Margin,Customer_Loans,Loans_from_Other_Organizations,Number_of_Customers,Customer_Classification
22/09/2009,14420,9547,6196,42.96809986,23098,5742,7087,Retail
23/09/2009,49876,9901,6969,13.97265218,6807,13441,2736,SME
24/09/2009,27455,9873,5522,20.11291204,5905,14342,7746,SME
25/09/2009,24324,9988,5276,21.69051143,32885,11733,5830,Retail
28/09/2009,48019,8414,3984,8.296715883,23827,6470,9908,Retail
29/09/2009,17012,8034,6928,40.72419469,13473,2319,4830,SME
30/09/2009,19396,3901,8703,44.8700763,11861,14438,1425,SME
1/10/2009,13918,5875,3153,22.65411697,35272,6342,6474,Corporate
2/10/2009,19359,5611,6004,31.01399866,11521,18383,2484,Retail
5/10/2009,33482,3322,6723,20.07944567,24017,13438,6202,Retail
6/10/2009,25127,7051,5471,21.77339117,8250,4510,1300,SME
7/10/2009,45725,9238,4264,9.325314379,23747,9178,5469,Retail
8/10/2009,47237,7299,6916,14.64106527,22363,19076,6594,Retail
9/10/2009,24165,7767,4109,17.00393131,37062,5525,8766,SME
12/10/2009,18752,3451,3549,18.92598123,25964,11939,9907,SME
13/10/2009,24505,8751,3515,14.34401143,36090,10701,7909,Retail
14/10/2009,15795,7142,7130,45.14086736,28843,7979,1856,Corporate
15/10/2009,33647,1940,7090,21.07171516,34742,19803,4975,SME
16/10/2009,38254,3722,824,2.154023109,6053,8289,1298,Corporate
19/10/2009,46530,5471,4871,10.46851494,14446,6098,3380,Retail
20/10/2009,35392,5307,8336,23.55334539,10175,4829,7901,Corporate
21/10/2009,26221,2447,1150,4.385797643,23141,16119,5458,SME
22/10/2009,28819,5510,5644,19.58430202,23580,16444,3987,Retail
23/10/2009,44402,4295,5801,13.06472681,14083,10223,6698,Retail
26/10/2009,10973,2903,2391,21.78984781,33992,2137,1456,Corporate
27/10/2009,30848,2128,5835,18.91532676,28190,17858,3495,Corporate
28/10/2009,20215,7513,2994,14.81078407,20593,17334,5319,SME
29/10/2009,21157,9895,3522,16.64697263,35482,6609,7369,SME
30/10/2009,34777,6239,2168,6.234005233,14749,6272,2338,Retail
2/11/2009,23824,8469,5983,25.11333109,9093,3166,3965,Retail
3/11/2009,12418,3231,2136,17.20083749,8805,6045,9454,Corporate
4/11/2009,22843,9054,7890,34.5401217,37903,11256,1803,SME
5/11/2009,23242,1869,990,4.259530161,38943,1186,5372,Corporate
6/11/2009,46223,4541,3145,6.803972049,36847,15524,4635,Corporate
9/11/2009,16521,8830,7271,44.01065311,38934,8077,8799,Corporate
10/11/2009,32626,6531,1190,3.647397781,7969,10627,1541,SME
11/11/2009,19123,9045,3595,18.79935157,25306,12580,4577,SME
12/11/2009,41454,2059,3636,8.771168042,6860,15622,1388,Retail
13/11/2009,24254,5973,5071,20.90789148,11879,7332,3644,Corporate
16/11/2009,33700,8971,5825,17.28486647,32839,1118,6406,Corporate
17/11/2009,47073,5712,3865,8.210651541,6350,6822,7524,SME
18/11/2009,48299,8363,4710,9.751754695,31364,18215,5059,Retail
19/11/2009,33310,4228,1730,5.193635545,15092,18324,1307,Retail
20/11/2009,41785,8931,6621,15.84539907,16095,9768,8629,Corporate
23/11/2009,25041,1299,3872,15.46264127,27623,12047,9542,Retail
24/11/2009,33306,4979,7695,23.10394524,14191,4306,1124,Retail
25/11/2009,46950,2770,1251,2.664536741,7543,7638,5815,Retail
26/11/2009,23160,9324,3643,15.72970639,7062,9466,4045,Retail
27/11/2009,36635,1316,7487,20.43674082,30624,16838,4498,SME
30/11/2009,43075,7572,6829,15.85374347,22267,18269,8221,Corporate
1/12/2009,23392,9194,8958,38.29514364,17293,16387,3480,SME
2/12/2009,24368,2093,5021,20.60489166,5412,11419,8062,Corporate
3/12/2009,15302,2681,3613,23.61129264,29159,16000,1330,SME
4/12/2009,43920,3127,7403,16.85564663,13809,3915,8659,Corporate
7/12/2009,33334,6016,6897,20.69058619,20818,11775,1304,SME
8/12/2009,48062,8784,1313,2.731887978,10790,7514,2987,Retail
9/12/2009,45260,4772,2899,6.405214317,27482,4384,7412,Retail
10/12/2009,37112,3416,5262,14.17870231,12134,3194,9530,Corporate
11/12/2009,23592,2183,4329,18.34944049,25958,8845,7903,SME
14/12/2009,35213,8987,1089,3.092607844,34344,14073,2745,SME
15/12/2009,43538,1097,7421,17.04488033,36273,14740,9472,SME
16/12/2009,25875,2895,3849,14.87536232,9892,18913,1630,SME
17/12/2009,18286,8816,2787,15.24116811,26994,19062,5463,SME
18/12/2009,48763,8299,2460,5.044808564,16519,16995,6844,Corporate
21/12/2009,28728,7251,2907,10.11904762,6942,6432,1001,Retail
22/12/2009,23640,9361,7720,32.65651438,28792,8912,4531,Retail
23/12/2009,13091,6430,6194,47.3149492,10574,7717,8009,Corporate
24/12/2009,13912,5377,8043,57.8133985,31473,8624,1138,Corporate
25/12/2009,16594,4949,1326,7.990840063,38790,4462,5474,SME
28/12/2009,31752,1071,8097,25.50075586,8753,2062,2898,SME
29/12/2009,33532,4816,4426,13.19933198,7363,6830,4463,SME
30/12/2009,17997,6469,1500,8.334722454,12608,18299,2688,SME
31/12/2009,25620,9958,5892,22.99765808,33828,1311,7932,SME
4/1/2010,14845,5037,3895,26.2377905,26399,5614,8722,Retail
5/1/2010,36763,2987,3786,10.29839785,27788,16718,1175,SME
6/1/2010,13533,2287,5363,39.6290549,22789,18587,3621,Retail
7/1/2010,12937,1370,2316,17.90214115,10182,7976,7563,SME
8/1/2010,36221,6015,1265,3.492449132,37457,6373,7607,Corporate
11/1/2010,47707,4288,2302,4.825287694,13948,18933,4264,Retail
12/1/2010,29608,5082,3598,12.15212105,6729,6150,3063,Retail
13/01/2010,15021,6427,1746,11.62372678,27396,4919,7342,Corporate
14/01/2010,36773,8073,2829,7.693144427,33127,8665,6726,Retail
15/01/2010,43902,3922,7951,18.11079222,10519,12788,2142,Retail
18/01/2010,27340,8888,1716,6.276517922,37877,3602,2037,Corporate
19/01/2010,11913,5335,1981,16.62889281,31306,7414,7708,Retail
20/01/2010,23429,7709,4017,17.14541807,27683,16418,6599,Corporate
21/01/2010,23907,6263,2984,12.48169992,16106,11545,8396,Corporate
22/01/2010,45489,1336,1721,3.783332234,31610,11809,9101,SME
25/01/2010,20088,5457,534,2.658303465,34028,18592,7172,Retail
26/01/2010,25588,2451,6099,23.83539159,35061,2786,7861,Corporate
27/01/2010,48395,5505,2422,5.004649241,11493,16312,4825,SME
28/01/2010,48214,1128,4290,8.897830506,7378,10283,7605,Corporate
29/01/2010,10469,7267,3343,31.93237176,11824,10229,3397,SME
1/2/2010,18717,3471,5263,28.11882246,25510,18936,9847,Retail
2/2/2010,44488,1386,6836,15.36594138,17898,18478,9814,Retail
3/2/2010,48040,2222,3913,8.145295587,6176,19913,1412,Corporate
4/2/2010,26975,3947,8453,31.33642261,19309,18973,6796,SME
5/2/2010,48953,9973,3708,7.574612383,25844,19824,8184,SME
8/2/2010,25912,1884,5409,20.8744983,29325,12710,8602,Retail
9/2/2010,38086,8499,6152,16.15291708,38707,6607,3948,Corporate
10/2/2010,26591,9048,3977,14.95618818,10491,8395,8372,Corporate
11/2/2010,25115,1656,6554,26.09595859,27278,18029,9842,SME
12/2/2010,24447,2214,3135,12.82365934,15871,7806,5078,SME
22/02/2010,38665,8560,5260,13.60403466,8386,16611,3059,Corporate
23/02/2010,21052,9219,2539,12.06061182,26025,2843,1860,SME
24/02/2010,25741,5998,6281,24.40076143,9362,7908,1003,Retail
25/02/2010,38739,5650,4304,11.11025065,28794,14701,6699,Corporate
26/02/2010,15103,3692,8156,54.00251606,27806,10074,7990,SME
1/3/2010,45050,8144,7251,16.0954495,6666,10934,3261,SME
2/3/2010,11740,4817,6570,55.96252129,7770,19259,9718,Corporate
3/3/2010,22579,9591,5246,23.23397848,20178,3123,8592,Retail
4/3/2010,15846,2980,2596,16.38268333,12830,2669,3072,SME
5/3/2010,30165,8717,8542,28.31758661,20433,13178,8369,Retail
8/3/2010,12775,5614,2239,17.52641879,28274,18681,2275,Retail
9/3/2010,28987,3874,8824,30.44123228,5855,14113,5500,Retail
10/3/2010,40752,2945,6640,16.29367884,5475,13579,2017,SME
11/3/2010,33563,2612,6752,20.11739117,20158,13725,7829,SME
12/3/2010,23928,5146,1730,7.230023404,11906,10212,2266,Retail
15/03/2010,16356,1177,4076,24.92051846,18015,8186,2245,Retail
16/03/2010,43930,2436,4267,9.713180059,24129,6216,7402,Retail
17/03/2010,38651,3497,1499,3.878295516,22184,11689,4369,SME
18/03/2010,25997,4692,5022,19.31761357,28784,13004,4783,SME
19/03/2010,43391,3439,5514,12.70770436,24511,11804,5146,SME
22/03/2010,42232,3736,7195,17.0368441,39148,9379,8943,SME
23/03/2010,18962,5590,8604,45.37496045,6653,4729,9196,SME
24/03/2010,30435,2174,534,1.754558896,31109,1979,2035,SME
25/03/2010,44009,1782,4887,11.1045468,15248,5778,2095,Corporate
26/03/2010,14403,9511,5592,38.82524474,11625,16239,3221,Retail
29/03/2010,27582,2877,6056,21.95634834,12790,14150,7967,SME
30/03/2010,39844,5660,6319,15.85935147,23648,6444,6974,Retail
31/03/2010,29381,1391,8065,27.4497124,9132,19498,3590,SME
1/4/2010,48429,4108,6954,14.35916496,36523,13091,1616,Retail
2/4/2010,25939,8878,8938,34.4577663,34830,13326,5123,Corporate
5/4/2010,20787,3452,691,3.324193005,34977,5224,5028,Corporate
6/4/2010,27191,3598,1571,5.777647016,36982,2403,2071,Retail
7/4/2010,12121,7532,8575,70.74498804,27789,1942,1596,Corporate
8/4/2010,34451,1251,6886,19.98780877,20527,10505,8617,SME
9/4/2010,13886,9974,6601,47.53708771,25905,16082,7623,Corporate
12/4/2010,32450,5839,2228,6.865947612,16897,13557,7221,Retail
13/04/2010,25212,7159,7813,30.98921149,6945,8943,6101,Corporate
14/04/2010,19987,8640,4337,21.69910442,9529,12905,7469,Corporate
15/04/2010,26583,9846,3612,13.58763119,23529,11902,6930,Retail
16/04/2010,44215,7026,727,1.644238381,8130,8330,2290,SME
19/04/2010,15181,5854,7127,46.94684145,8955,12303,4249,SME
20/04/2010,21042,8428,4207,19.99334664,36924,7876,2464,SME
21/04/2010,15208,1564,3151,20.71935823,12725,9841,9616,Corporate
22/04/2010,16177,4893,2049,12.66613093,14223,11519,4057,SME
26/04/2010,14863,1835,1688,11.35706116,25687,9807,5954,Corporate
27/04/2010,18389,4452,3870,21.04519006,35969,3683,1703,SME
28/04/2010,10894,3236,5412,49.67872223,14724,19982,3502,Corporate
29/04/2010,40142,3557,4068,10.13402421,33979,2735,2520,Retail
4/5/2010,42904,7679,1004,2.340108148,11835,4863,2272,SME
5/5/2010,36813,7172,3150,8.55675984,29226,1100,5358,Corporate
6/5/2010,49041,4649,3708,7.561020371,6887,18894,4453,Corporate
7/5/2010,35968,2092,5637,15.67226423,6690,17316,6172,Corporate
10/5/2010,23688,6156,7306,30.84262074,19059,2189,9688,SME
11/5/2010,13419,8509,6388,47.60414338,39997,18715,2219,Corporate
12/5/2010,26552,7130,4066,15.31334739,18124,13874,6335,Retail
13/05/2010,16004,8743,3066,19.15771057,35521,15528,3370,Corporate
14/05/2010,45620,2316,707,1.549758878,16481,7878,8991,Retail
17/05/2010,30803,9043,649,2.106937636,19272,7065,1773,SME
18/05/2010,25139,7569,5190,20.64521262,18322,9087,4795,Corporate
19/05/2010,45954,3961,7179,15.62214388,37926,19134,8429,Corporate
20/05/2010,32302,7431,2862,8.8601325,7801,4149,3547,Corporate
21/05/2010,31533,9698,3892,12.34262519,12052,9818,4915,Retail
24/05/2010,28161,6100,728,2.585135471,14589,1403,8836,Retail
25/05/2010,24676,1178,1548,6.273301994,22202,17768,9278,Retail
26/05/2010,30989,9976,8632,27.85504534,7824,7121,8062,Corporate
27/05/2010,12562,8964,3613,28.76134374,32205,5993,5517,Corporate
28/05/2010,32597,4199,790,2.423535908,25977,3799,8142,Corporate
31/05/2010,35484,9651,2742,7.727426446,25800,8381,2902,Retail
1/6/2010,47420,1160,6780,14.29776466,30711,2260,1015,Retail
2/6/2010,23173,5569,8670,37.41423208,9499,9921,4994,Retail
3/6/2010,37389,5646,5240,14.01481719,34428,4774,3405,SME
4/6/2010,38271,9524,7064,18.45784014,6677,15108,1582,Retail
7/6/2010,21605,2174,6198,28.68780375,34592,2796,7356,SME
8/6/2010,43191,7276,6256,14.48449909,39410,4115,6272,Corporate
9/6/2010,38310,2426,800,2.088227617,17050,7194,3767,Corporate
10/6/2010,43735,1010,5420,12.3928204,18628,6117,5896,Corporate
11/6/2010,47138,9498,4771,10.12134584,14243,1206,4196,Retail
14/06/2010,32571,6085,1400,4.298302171,19541,11170,4373,SME
15/06/2010,43201,3771,3903,9.03451309,21759,16615,6487,Retail
16/06/2010,23097,1003,1277,5.528856561,26510,13342,8015,Corporate
17/06/2010,32621,8176,8815,27.02247019,13647,14906,5547,Retail
18/06/2010,27813,8130,4685,16.844641,31594,8511,6090,Retail
21/06/2010,28930,2618,2872,9.927410992,35001,5870,7344,Retail
22/06/2010,41200,8748,5138,12.47087379,31482,19748,2477,Corporate
23/06/2010,24299,7506,4131,17.00069962,31755,11796,7547,Corporate
24/06/2010,26713,8517,1941,7.266125108,15845,16150,4765,Corporate
25/06/2010,29996,4107,617,2.056940925,6551,19267,3952,SME
28/06/2010,26363,5666,8273,31.3811023,30169,15114,7589,Retail
29/06/2010,34785,5739,6353,18.26361938,38248,13903,7203,Retail
30/06/2010,46736,3246,8136,17.40842177,11457,3977,7316,Retail
1/7/2010,34534,8234,6953,20.1337812,21613,6337,3806,Corporate
2/7/2010,42319,2719,7404,17.49568752,26700,12968,6421,Retail
5/7/2010,11040,7587,1845,16.71195652,14853,7108,4754,Retail
6/7/2010,16250,6795,8680,53.41538462,27796,1911,2585,Retail
7/7/2010,35182,6379,6781,19.2740606,16799,17473,4845,SME
8/7/2010,17704,4058,6601,37.28535924,13492,1349,3270,Retail
9/7/2010,16772,3882,2578,15.37085619,20254,16003,5387,SME
12/7/2010,48079,6630,6283,13.06807546,15935,9302,3761,Corporate
13/07/2010,35907,1583,837,2.331021806,36319,8175,3667,Corporate
14/07/2010,19144,4082,4734,24.72837443,32607,11922,1235,SME
15/07/2010,37741,6311,7034,18.63755597,15578,14092,3749,Corporate
16/07/2010,48779,8547,7994,16.38819984,29569,9786,2485,Retail
19/07/2010,12195,6497,2569,21.06601066,26996,9993,9652,Retail
20/07/2010,14680,9197,2967,20.21117166,7636,19236,3641,SME
21/07/2010,35687,8464,2783,7.798357945,9735,4037,7164,Retail
22/07/2010,42058,9628,1807,4.296447763,30856,19895,1209,SME
23/07/2010,48008,4521,1538,3.203632728,38295,7622,2841,SME
26/07/2010,20100,1389,5015,24.95024876,22982,14006,3421,Corporate
27/07/2010,25168,9424,827,3.285918627,20984,12335,2290,Retail
28/07/2010,43500,2610,814,1.871264368,6531,15336,1547,Corporate
29/07/2010,33978,9530,2476,7.287068103,6625,9445,5673,Retail
30/07/2010,22046,3492,4151,18.82881248,33065,9426,1174,Corporate
2/8/2010,30950,7463,5468,17.66720517,34033,7903,7982,SME
3/8/2010,19500,7779,5488,28.14358974,29922,18882,3265,Corporate
4/8/2010,42722,9489,4905,11.48120406,36851,3686,9922,SME
5/8/2010,33418,6661,6936,20.75528158,5277,14559,3561,SME
6/8/2010,43415,3748,4568,10.52170909,5344,13453,9842,SME
9/8/2010,22232,5916,7877,35.4309104,26025,13283,7507,Retail
10/8/2010,26957,5633,5532,20.52157139,33169,8462,6273,Corporate
11/8/2010,49565,1659,7009,14.14102693,30005,10956,5975,Corporate
12/8/2010,48405,9032,6044,12.4863134,18605,10477,6342,SME
13/08/2010,37784,9795,787,2.08289223,12383,6013,5679,SME
16/08/2010,42693,4226,8266,19.36148783,35059,15156,1674,SME
17/08/2010,48027,8736,3936,8.195390093,37450,19602,7118,Retail
18/08/2010,49335,8480,1012,2.051282051,10414,3048,6133,SME
19/08/2010,47212,4868,4828,10.22621367,33033,3136,8717,Corporate
20/08/2010,43354,4031,2745,6.331595701,14796,9247,3166,Corporate
23/08/2010,24132,9658,1484,6.149511023,29153,2595,1915,Retail
24/08/2010,17601,1961,1813,10.30055111,39935,16732,9427,Retail
25/08/2010,37867,7741,7188,18.98222727,19121,9278,3315,Retail
26/08/2010,21059,4362,3890,18.47191225,39883,8858,8257,Retail
27/08/2010,10739,9797,2338,21.77111463,35842,1313,3402,Corporate
30/08/2010,39545,6869,8876,22.44531546,31520,14902,9370,SME
31/08/2010,31266,3018,2579,8.248576729,22697,8968,8113,SME
1/9/2010,38021,4867,2116,5.565345467,11864,17159,9269,Retail
6/9/2010,15410,1391,698,4.529526282,27139,18210,2778,Corporate
7/9/2010,26821,9140,6826,25.45020693,6865,7922,2259,Retail
8/9/2010,13898,8517,4776,34.36465679,6052,10501,9430,Retail
9/9/2010,38587,4748,8484,21.98667945,18726,1673,6684,Corporate
10/9/2010,28231,5262,5031,17.82083525,23861,6607,7324,Corporate
13/09/2010,19724,9284,970,4.917866559,11044,14211,7871,SME
14/09/2010,33314,7359,7841,23.53665126,24391,4422,4804,Corporate
15/09/2010,10941,4988,1241,11.34265606,26446,6967,9269,Retail
16/09/2010,37479,1781,6509,17.36705889,19705,5593,8510,SME
17/09/2010,35025,5205,5060,14.4468237,39865,14799,6623,Corporate
20/09/2010,21590,4561,6280,29.08754053,5951,19583,1750,Corporate
21/09/2010,21317,5154,8278,38.83285641,23571,7454,9674,Retail
22/09/2010,19008,3609,3370,17.7293771,39094,18330,6994,Corporate
23/09/2010,41838,5369,7508,17.94540848,19872,18688,9279,SME
24/09/2010,28491,9497,6436,22.58958969,13786,17334,6838,Corporate
27/09/2010,24672,4001,5285,21.4210441,35936,5219,1919,SME
28/09/2010,36266,5810,6985,19.26046435,22751,1942,1037,SME
29/09/2010,40332,3906,7796,19.32956461,11754,17166,4246,SME
30/09/2010,30643,8437,7219,23.55839833,9613,6571,6343,Retail
1/10/2010,21834,5961,7493,34.31803609,17279,14199,2955,Retail
4/10/2010,27329,3541,4532,16.58311684,6055,3327,4755,Retail
5/10/2010,18393,7401,1817,9.878758223,20743,1484,1647,Retail
6/10/2010,28189,6600,4208,14.92780872,33536,11494,5895,SME
7/10/2010,11862,1838,2538,21.39605463,29294,10405,8302,SME
8/10/2010,46519,4362,5028,10.80848685,10713,1977,9291,Corporate
11/10/2010,10903,7702,6685,61.31339998,19720,16198,7585,SME
12/10/2010,40416,7490,4681,11.58204671,6286,9145,5069,SME
13/10/2010,25352,9849,8709,34.35231934,23964,14457,7527,SME
14/10/2010,35080,6388,7182,20.4732041,6546,19746,7416,Retail
15/10/2010,34399,7000,1439,4.183261141,39561,2459,1246,Corporate
18/10/2010,24297,5023,5932,24.41453677,12545,13368,3749,Corporate
19/10/2010,15896,7809,2109,13.26748868,18989,19186,6833,SME
20/10/2010,22003,9508,7455,33.8817434,38783,18602,8235,Corporate
21/10/2010,17942,1998,7596,42.33641734,9086,5878,6958,SME
22/10/2010,33761,8268,3213,9.516898196,19069,2332,4271,SME
25/10/2010,48361,8782,6549,13.5419036,17416,2472,8153,SME
26/10/2010,26322,8895,3686,14.00349518,32358,14853,6872,Retail
27/10/2010,40268,7735,1996,4.95678951,16508,17330,5196,Retail
28/10/2010,49794,6383,5817,11.68213038,25489,6381,2599,SME
29/10/2010,46589,6954,1210,2.597179592,23641,10283,5218,SME
1/11/2010,29095,2300,5888,20.23715415,25158,14164,8975,Retail
2/11/2010,18472,9669,5750,31.12819402,36029,19592,5678,Retail
3/11/2010,11028,1288,3144,28.50924918,38653,7340,6896,SME
4/11/2010,45428,4475,7730,17.01593731,23425,4032,2106,Retail
5/11/2010,12353,7124,4330,35.05221404,10798,17510,6254,SME
8/11/2010,36967,4052,2567,6.944031163,32622,11308,6152,Retail
9/11/2010,32046,4606,7498,23.39761593,36403,12037,1239,SME
10/11/2010,17734,1086,2055,11.58791023,20377,9660,8182,Retail
11/11/2010,34729,3540,2159,6.216706499,33085,12280,7506,Corporate
12/11/2010,38436,7373,4981,12.95920491,15772,10353,5383,SME
15/11/2010,33905,7716,6369,18.78483999,38801,3686,2507,Corporate
16/11/2010,36981,7818,6615,17.88756388,22823,12346,3042,Corporate
17/11/2010,20937,9765,1549,7.398385633,28642,7222,6849,Retail
18/11/2010,42155,2062,6437,15.2698375,37823,13215,4480,Corporate
19/11/2010,11053,6084,8197,74.1608613,8414,4099,1052,SME
22/11/2010,29361,9880,5956,20.28541262,35468,2449,4055,Retail
23/11/2010,31875,5514,5610,17.6,27867,8667,3354,Retail
24/11/2010,46661,1145,8771,18.79728253,13799,18699,1078,Corporate
25/11/2010,12679,7708,2547,20.08833504,6158,10719,4404,Corporate
26/11/2010,21187,9333,6556,30.94350309,32115,7227,8205,Corporate
29/11/2010,14950,5113,2277,15.23076923,37883,3022,2121,Corporate
30/11/2010,41222,4871,4291,10.40949008,5361,13158,3500,Corporate
1/12/2010,12665,2557,4818,38.04184761,18675,9395,7526,Retail
2/12/2010,29441,5322,6477,21.99993207,23863,10309,4112,SME
3/12/2010,40857,8789,4338,10.61751964,16535,12956,1267,SME
6/12/2010,49606,1943,4221,8.509051324,14436,13225,4467,SME
7/12/2010,46736,2190,3411,7.298442314,22157,1081,7385,Corporate
8/12/2010,10851,2183,4759,43.85770897,7695,8180,8425,Retail
9/12/2010,15028,2860,7101,47.25179665,5996,9159,7117,SME
10/12/2010,30177,3469,8061,26.71239686,6712,14027,2115,SME
13/12/2010,33700,5675,7771,23.05934718,14491,17233,7879,Retail
14/12/2010,49920,3069,3329,6.668669872,11453,8929,4894,Retail
15/12/2010,34702,3197,8661,24.95821566,10629,17060,3838,Retail
16/12/2010,18769,3370,5148,27.42820608,30266,14484,6663,SME
17/12/2010,32036,5325,6243,19.48745162,8626,2683,4867,Retail
20/12/2010,43572,7074,2655,6.09336271,11461,2085,5994,Corporate
21/12/2010,48212,6024,7296,15.13316187,19949,18842,7197,Corporate
22/12/2010,26496,3659,7677,28.97418478,30740,8610,3338,Corporate
23/12/2010,44735,7742,2820,6.30378898,17396,4701,4664,Corporate
24/12/2010,27034,7405,4631,17.13028039,16203,2852,2958,Retail
27/12/2010,47101,4721,6969,14.79586421,21405,16226,5001,Retail
28/12/2010,11384,7262,3545,31.14019677,19141,12372,3706,SME
29/12/2010,23867,5417,3477,14.56823229,27261,11441,2350,SME
30/12/2010,10063,7845,4689,46.59644241,29694,13045,1262,Corporate
31/12/2010,46767,5331,3311,7.079778476,21682,3885,7446,SME
4/1/2011,13988,5229,2978,21.28967687,5485,10459,3264,SME
5/1/2011,29055,5292,7063,24.30906901,38230,7387,9292,Corporate
6/1/2011,45155,1019,7535,16.68696711,35172,8891,6283,SME
7/1/2011,36444,3982,5369,14.73219186,18109,11923,5994,Corporate
10/1/2011,31778,9181,6557,20.63377179,27881,2388,1636,SME
11/1/2011,46209,3807,1869,4.044666623,27060,13003,4902,Corporate
12/1/2011,18010,9845,6826,37.90116602,7964,9862,1942,Corporate
13/01/2011,23537,9203,3917,16.64188299,24335,8352,4913,Corporate
14/01/2011,15763,6478,2848,18.06762672,14418,16608,1827,Corporate
17/01/2011,29340,9758,2205,7.515337423,28633,14824,3688,Retail
18/01/2011,17396,3344,1470,8.450218441,25492,3973,8465,SME
19/01/2011,46666,1515,8623,18.47812112,38326,3811,5075,Retail
20/01/2011,24705,9695,6222,25.18518519,8029,4443,3878,SME
21/01/2011,31287,8869,584,1.866589957,22650,9545,6155,Retail
